"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"101"	2005-04-22	256.5613499	330.462556782692	905.33
"102"	2005-04-29	240.4594363	329.866667474808	915.66
"103"	2005-05-06	243.6672394	329.766535614671	919
"104"	2005-05-13	235.7420788	337.611037002753	899
"105"	2005-05-20	235.7420788	345.69961670357	889
"106"	2005-05-27	248.1330045	345.87420019998	905.67
"107"	2005-06-03	271.6568939	346.506171667207	915.67
"108"	2005-06-10	267.5056193	350.162639987411	909
"109"	2005-06-17	292.1616745	360.191689187576	909
"110"	2005-06-24	300.4642237	360.154400192397	922.33
"111"	2005-07-01	300.2126313	353.203567527624	958.8
"112"	2005-07-08	303.1059439	354.024958652292	955.9
"113"	2005-07-15	296.4387453	353.703134253207	975.2
"114"	2005-07-22	300.1497332	346.938558296327	963.5
"115"	2005-07-29	309.5844482	353.483052503381	963.7
"116"	2005-08-05	311.2197988	351.541011903721	959.8
"117"	2005-08-12	335.6871597	357.488474069606	965.2
"118"	2005-08-19	333.4228281	363.031797527969	979.6
"119"	2005-08-26	331.1584965	363.045271225781	966.3
"120"	2005-09-02	328.8312668	365.26882531405	980.4
"121"	2005-09-09	315.8742582	373.286302031793	1012.4
"122"	2005-09-16	309.3328558	371.626227891876	991.4
"123"	2005-09-23	320.9061062	377.360573428611	985.7
"124"	2005-09-30	327.07012	382.231985241339	1013.3
"125"	2005-10-07	299.5836503	375.767259960054	1037.3
"126"	2005-10-14	300.9674085	378.105827227482	1033.49241105806
"127"	2005-10-21	301.4076952	378.051337626569	1025.3
"128"	2005-10-28	309.0183653	373.713515392812	1032
"129"	2005-11-04	317.5725069	384.430654122067	1027
"130"	2005-11-11	295.2436814	386.264124655744	1022.6
"131"	2005-11-18	284.3623101	379.455322042393	1019.5
"132"	2005-11-25	285.557374	370.210896398148	1029.1
"133"	2005-12-02	298.5143826	365.0733755758	1034.07220571226
"134"	2005-12-09	298.1998921	363.991868861342	1031.63937325891
"135"	2005-12-16	296.5016434	360.352995993912	1025.32043794944
"136"	2005-12-23	298.8288731	361.668335970354	1018.63433509332
"137"	2005-12-30	312.9180475	356.025435643162	1015.1
"138"	2006-01-06	326.8814257	359.401252793353	1015.5
"139"	2006-01-13	323.8623169	353.092639848634	1012.944553138
"140"	2006-01-20	344.5557918	361.282833452625	1010.9
"141"	2006-01-27	336.2532426	365.263267026751	1012.1
"142"	2006-02-03	329.2086554	366.44558877	1011.4
"143"	2006-02-10	311.7229836	365.581755852513	1017.8
"144"	2006-02-17	307.2572185	367.603989921104	1008.8
"145"	2006-02-24	322.3527625	368.494005793237	1005.5
"146"	2006-03-03	327.9506934	373.325309969336	1002.3
"147"	2006-03-10	323.6107245	379.566005262171	1012.6
"148"	2006-03-17	323.4220302	384.603208741444	1016
"149"	2006-03-24	327.7619991	382.604108391889	1023.2
"150"	2006-03-31	336.504835	380.544357511756	1007.4
"151"	2006-04-07	349.6505379	382.741838095396	1024
"152"	2006-04-14	364.6202857	383.568853301311	1029.1
"153"	2006-04-21	380.6593012	389.987712394644	1022
"154"	2006-04-28	358.6449662	391.496318508148	1020.9
"155"	2006-05-05	349.4618436	394.775125558224	1025.2
"156"	2006-05-12	352.6067486	408.653048457248	1023
"157"	2006-05-19	334.5549939	408.921114796685	1012.2
"158"	2006-05-26	346.6943272	413.802718829	1004.6
"159"	2006-06-02	342.7317469	417.140652819429	997.8
"160"	2006-06-09	348.0151873	417.40521384596	1009
"161"	2006-06-16	336.504835	414.29648828716	1006.2
"162"	2006-06-23	348.7699645	410.859183282811	1001
"163"	2006-06-30	360.4690111	401.68500342762	1010.8
"164"	2006-07-07	355.1226726	418.9968221338	1014.2
"165"	2006-07-14	380.7850974	426.810977663437	1012.7
"166"	2006-07-21	365.1234705	430.859206449264	1021
"167"	2006-07-28	362.1672598	426.504601909813	1008.9
"168"	2006-08-04	372.1051596	426.217906631966	1018.1
"169"	2006-08-11	374.4952874	424.460459558246	1053.4
"170"	2006-08-18	351.4116847	423.045230612279	1054.6
"171"	2006-08-25	353.9276087	436.872332149511	1055.1
"172"	2006-09-01	337.0709179	435.936160602627	1053.8
"173"	2006-09-08	315.6226658	437.437424771471	1052.7
"174"	2006-09-15	307.1943204	425.855009734815	1029
"175"	2006-09-22	290.3376296	430.397718954522	1020
"176"	2006-09-29	304.3010078	427.013848750668	1009.7
"177"	2006-10-06	293.6083308	429.739816917704	1006.3
"178"	2006-10-13	295.2436814	440.345854354416	1008.3
"179"	2006-10-20	286.6266417	454.235848318768	1012.7
"180"	2006-10-27	288.8909733	454.891614784149	1010.9
"181"	2006-11-03	281.783488	454.613766155696	999.6
"182"	2006-11-10	281.3432013	453.734033016571	1006
"183"	2006-11-17	278.0725001	454.161766976363	1009.9
"184"	2006-11-24	288.3877885	460.27837846692	1010.7
"185"	2006-12-01	307.4459128	461.884478907468	1012.5
"186"	2006-12-08	296.6274396	458.331925966918	1013.7
"187"	2006-12-15	301.91088	457.814738276464	1013.7
"188"	2006-12-22	296.5016434	455.968441015986	1015.4
"189"	2006-12-29	287.444317	460.281002104017	1035.89093176891
"190"	2007-01-05	267.1911288	455.273453682538	1050.9
"191"	2007-01-12	254.9259993	462.185098544136	1036.7
"192"	2007-01-19	258.511191	457.08043360804	1018.3
"193"	2007-01-26	269.4554604	453.4707234802	1016.2
"194"	2007-02-02	283.2930424	469.666501033903	1014
"195"	2007-02-09	284.7396987	462.873555271401	1011.3
"196"	2007-02-16	279.9594431	453.733832905362	1010.2
"197"	2007-02-23	287.6959094	455.567801272153	1012.6
"198"	2007-03-02	295.62107	453.210134047526	1010.3
"199"	2007-03-09	291.3439992	444.341319381901	1018.5
"200"	2007-03-16	284.1736158	432.683855080638	1019.3
"201"	2007-03-23	300.2755294	421.642478778531	1014.2
"202"	2007-03-30	321.8495777	411.141136337971	1011
"203"	2007-04-06	320.9690043	420.67146092556	1022.3
"204"	2007-04-13	318.8304689	424.694418956272	1020.4
"205"	2007-04-20	308.1377919	422.369241821144	1019.6
"206"	2007-04-27	316.4403411	436.370948019138	1021.2
"207"	2007-05-04	299.2062617	436.405058916658	1025.8
"208"	2007-05-11	308.9554672	436.540295614198	1020.6
"209"	2007-05-18	326.6298333	443.780594925681	1019.5
"210"	2007-05-25	334.8065863	454.350339986311	1025.9
"211"	2007-06-01	325.6234637	458.964143686605	1025.9
"212"	2007-06-08	327.3846105	455.866787393735	1014.2
"213"	2007-06-15	336.8822236	466.518383054694	1013.5
"214"	2007-06-22	339.9642305	462.001053092231	1029.7
"215"	2007-06-29	339.5239438	482.120871642687	1032.8
"216"	2007-07-06	357.7014947	490.06481637995	1039
"217"	2007-07-13	366.1927382	496.399943745536	1032.7
"218"	2007-07-20	361.9785655	506.587979135701	1033.9
"219"	2007-07-27	355.6258574	512.08734732274	1032.7
"220"	2007-08-03	343.9897089	529.416764379442	1026.7
"221"	2007-08-10	323.8623169	539.905720707325	1017.3
"222"	2007-08-17	326.5669352	527.381883094516	1023
"223"	2007-08-24	323.4849283	550.354106818845	1024.2
"224"	2007-08-31	336.1903445	580.041566204544	1026.6
